itemId,model,title,price,rating,brandName,itemUrl
24395406,W1A52A#BGJ,HP LaserJet Pro M404n Monochrome Laser Printer with Built-in Ethernet (W1A52A),$299.00,4.0,HP,https://www.staples.com/hp-laserjet-pro-m404n-network-monochrome-laser-printer-w1a52a/product_24395406
1897695,MFCL5850DW,"Brother MFC-L5850DW Monochrome Laser Printer All-In-One with Wireless, Network Ready and USB",$419.99,4.5,Brother,https://www.staples.com/Brother-MFC-L5850DW-Mono-Laser-All-in-One-Printer/product_1897695
2710362,MFCL8900CDW,"Brother MFC-L8900CDW USB, Wireless, Network Ready Color Laser All-In-One Printer",$599.99,4.5,Brother,https://www.staples.com/Brother-Printer-MFCL8900CDW-Business-Color-Laser-All-in-One-with-Advanced-Duplex-and-Wireless-Networking/product_2710362
1074269,HLL2320D,"Brother USB Monochrome Laser Printer with Duplex Printing, Black (HLL2320D)",$109.99,4.5,Brother,https://www.staples.com/Brother-HL-L2320D-Monochrome-Laser-Printer/product_1074269
2764645,HLL2370DW,Brother HL-L2370DW Compact Monochrome Laser Printer with Wireless & Ethernet and Duplex Printing,$139.99,4.5,Brother,https://www.staples.com/brother-hl-l2370dw-compact-monochrome-laser-printer-with-wireless-ethernet-and-duplex-printing/product_2764645
24455374,1G5M0A#B1H,HP OfficeJet Pro 9025e Wireless Color All-in-One Printer with bonus 6 free months Instant Ink with HP+ (1G5M0A),$349.99,4.0,HP,https://www.staples.com/hp-officejet-pro-9025e-wireless-color-all-in-one-printer-w-6-months-free-ink-1g5m0a/product_24455374
2072143,HL-L6200DW,"Brother HL-L6200DW USB, Wireless, Network Ready Black & White Laser Printer",$249.99,4.5,Brother,https://www.staples.com/Brother-HL-L6200DW-Mono-Laser-Printer/product_2072143
2444435,G3Q75A#BGJ,"HP LaserJet Pro M227fdw All-In-One Wireless Laser Printer, All-In-One (G3Q75A)",$299.00,4.5,HP,https://www.staples.com/HP-LaserJet-Pro-M227fdw-All-In-One-Mono-Laser-Printer/product_2444435
24393550,C11CG19204,"Epson EcoTank ET-4760 Wireless Color Inkjet All-In-One Printer, White",$499.99,4.5,Epson,https://www.staples.com/eco-tank-et-4760-all-in-one-supertank-multifunction-printer-white/product_24393550
24383967,PA03770-B005,"Fujitsu ScanSnap iX1500 Wireless Portable Document Scanner, White (PA03770-B005)",$399.99,5.0,Fujitsu,https://www.staples.com/fujitsu-scansnap-ix1500-sheetfed-scanner-600-dpi-optical/product_24383967
24286230,HL-L2395DW,"Brother HL-L2395DW Monochrome Laser Printer with Print-Scan-Copy, Wireless, Network Ready and USB",$199.99,4.5,Brother,https://www.staples.com/brother-hl-l2395dw-monochrome-laser-printer-with-convenient-copy-scan-2-7-color-touchscreen-duplex-and-wireless-printing/product_24286230
